Object	Obs_id	HR_SLW	HR_SSW	LR_SLW	LR_SSW
MGE_4121	1342262927	1461730902637	1461730905192	1461730909863	1461730911100
MGE_3269	1342254039	1461674270654	1461674273500	1461674278825	1461674280075
MGE_3280	1342254040	1461674029019	1461674032064	1461674036948	1461674038232
MGE_3739	1342254041	1461674083048	1461674085477	1461674090033	1461674091207
MGE_3739	1342254041	1461674083048	1461674085477	1461674090033	1461674091207
MGE_4384	1342262919	1461730805848	1461730808279	1461730813533	1461730814778
MGE_4204	1342262924	1461730811069	1461730813245	1461730818934	1461730820360
MGE_4111	1342262926	1461730783447	1461730786510	1461730793632	1461730795197
MGE_4485	1342265807	1461740976374	1461740979733	1461740983833	1461740985063
